train_loss,train_acc,val_loss,val_acc
1.6940471051294175,37.708,1.3842506537771528,49.45
1.3693308962123167,50.562,1.2250204109082556,55.31
1.230246108130116,55.858,1.1246594255137596,59.35
1.1410062917510566,59.376,1.0550866145996531,62.15
1.0704771550110235,61.73,1.003488355761121,64.29
1.0192974484942454,63.956,0.949342216655707,66.32
0.9824000032966399,65.264,0.921405722381203,67.21
0.9499354029403013,66.416,0.9075584984888696,68.09
0.9277830686410675,67.386,0.8804357268248394,68.8
0.9019085713817031,68.254,0.8492927220976276,69.64
0.8773385509658043,68.992,0.8529456876645423,69.53
0.8617148993112852,69.728,0.8189553470368598,70.85
0.8395682738717559,70.452,0.823288952089419,70.89
0.8278154670582403,70.978,0.7915313319795451,72.16
0.8064868662820752,71.644,0.7845957172904044,72.17
0.791050675198855,72.12,0.7701464468126844,72.76
0.783266658368318,72.366,0.747027306799676,73.67
0.7668222602447281,72.818,0.7686772261075913,72.77
0.7580576525319873,73.154,0.7518584388456527,73.47
0.7469044430252841,73.914,0.7244375771397997,74.72
0.7353256577649689,74.156,0.7295926437256443,74.5
0.7308955534034983,74.282,0.7210215341513324,74.61
0.7187578259679057,74.726,0.721829286806143,74.59
0.7123188552496683,74.906,0.7033155900277909,75.5
0.7034454791213546,75.29,0.6905075389488488,76.01
0.7012401010526721,75.344,0.6962845348248816,75.73
0.6905935569035123,75.516,0.6825030578929148,76.51
0.6768226700137033,76.128,0.6912421855577238,76.13
0.6751765585921304,76.14,0.6822999951186454,76.44
0.6719626824340552,76.374,0.7000564866384883,75.93
0.6662414210379276,76.674,0.6931713865061474,76.25
0.6572578973934778,76.976,0.6774654659875639,76.26
0.6537587359890609,77.016,0.6732581495099766,76.75
0.6523387687437979,76.904,0.6629420636565821,77.1
0.6424389507459558,77.352,0.6714851552513754,77.08
0.6407338726093702,77.446,0.676150360684486,76.76
0.6362224564604138,77.72,0.6574036987723818,77.38
0.636516436134153,77.694,0.6666595985175697,76.98
0.6256922076425284,77.884,0.6583506732609621,77.66
0.6272826965355203,78.098,0.6545912638591354,77.3
0.6201722099424323,78.1,0.6723381282797285,76.9
0.6156310966557554,78.36,0.6485637377022179,77.78
0.6169861166754647,78.286,0.642604407990814,77.99
0.6139912976861914,78.386,0.6333889558816411,78.41
0.608426913962035,78.55,0.6702286658013702,77.19
0.6076524392951785,78.796,0.641521947778714,78.13
0.6016456968796527,78.766,0.651432067155838,77.69
0.5968226306045147,78.88,0.6507256342347261,77.89
0.5981067801299302,78.846,0.6505558629324482,77.68
0.5914094883500768,79.176,0.6549147635128847,77.94
0.5928540951608087,79.112,0.6356297439071024,78.0
0.5837771024774102,79.412,0.6499108624686102,77.59
0.5835493768724944,79.344,0.6414762289281104,78.18
0.5852213873887611,79.456,0.6391341369243184,77.88
0.5802778677486092,79.42,0.6305112350898184,78.34
0.5765204131984345,79.644,0.6307586902266096,78.38
0.5726309488039187,79.838,0.6460141976168201,78.09
0.5729861964883707,79.708,0.6395262973323749,77.94
0.5736620037070931,79.736,0.6290250595208187,78.24
0.5702817262438558,79.864,0.6310007391841548,78.68
0.5704539215092159,80.028,0.6346179172871219,78.43
0.5640643981792738,79.982,0.63572336875709,77.88
0.5572018327996554,80.33,0.6407264378040459,78.04
0.5577827542448592,80.146,0.6471351681241564,77.88
0.5615643934939828,80.212,0.6472915198392929,78.07
0.5571659576252598,80.356,0.6481159130099473,78.31
0.5558905489075824,80.25,0.6244904279329215,78.57
0.5515070080071154,80.436,0.6428500622700734,78.42
0.5509162229459609,80.29,0.6207210749008094,78.64
0.5473594006598758,80.432,0.6257853864864179,78.59
0.5547458143795237,80.43,0.6303975921907242,78.64
0.5446300702479184,80.57,0.6214298736897244,79.04
0.5500454048976264,80.436,0.6347810316617322,78.4
0.5430004960854949,80.8,0.6373932691896038,78.06
0.5438052420992681,80.608,0.6184575888001995,79.09
0.5407768890375981,80.92,0.6510077528892808,78.05
0.5365242356686946,80.91,0.6306143814970733,78.92
0.5358359083876281,80.95,0.6246666393841908,78.83
0.5344016010422841,80.93,0.6236145388168893,78.68
0.5316277395962449,81.288,0.6153410811712787,78.73
0.5342400808773382,80.938,0.627186740279957,78.7
0.5336946427364788,81.014,0.6261614859104156,78.88
0.5283182487463403,81.45,0.6352426043361615,78.24
0.5300570003250066,80.964,0.6240946671385674,78.79
0.5241202340482751,81.338,0.6302364130688322,78.44
0.5225647498884469,81.378,0.6230320795706124,78.84
0.5220900788865126,81.588,0.6128418067837976,79.2
0.5264645197507366,81.306,0.6185800095272672,78.7
0.5248694766284255,81.446,0.6241385473567209,79.09
0.5190815703033487,81.506,0.6075546640879029,79.17
0.5164693478885514,81.51,0.6223475519259265,78.97
0.5174873091490068,81.57,0.6185102527308616,79.13
0.5156669301145217,81.548,0.621631549232325,79.03
0.5183255486476147,81.644,0.6162571994362364,79.16
0.507943488905192,82.076,0.615379436570368,79.24
0.5113140788224652,81.746,0.6258189372575966,79.14
0.5070431063432828,82.016,0.6319230430445094,78.69
0.5120499229149136,81.676,0.61370814454024,79.14
0.5046451044890582,81.99,0.6156869158623325,78.84
0.5104041447115066,81.924,0.6204516948408382,78.97
